Plate,Well,Cell Type,Stimuli,Inhibitor,Inhibitor Conc=uM,Time=min,,,p-Akt,p-cJun ,p-CREB ,p-ERK1/2,p-GSK-3a/b,p-IkBa,p-JNK,p-MEK1,p-p38,p-p70-S6K,p-p90-RSK,p-STAT2,p-STAT3 (Tyr705),p-IRS-1,p-Histone H3,p-Hsp27,p-p53 (Ser37),p-Tyk2,p-ATF-2,p-NFkB,p-p53 (Ser46),p-STAT3 (Ser727),p-STAT6
,,U937,IL-10,JNKi,1,240,,,2590,,703,2644,13296.5,931.5,747,,296,13396,1801.5,192,2415,1424,522,1179,484,1953,684.5,90,23,898,138.5
,,U937,IL-10,JNKi,1,120,,,7144.5,2460,606,3254,14287,870,1011,23823.5,428,14278.5,3169,999,3493,1411,1129,1870,749,2331,898,66,31,933.5,130
,,U937,IL-10,JNKi,1,60,,,4844,1995,1184.5,2643.5,5069,903,1308,,674,13295.5,1642.5,164.5,4773.5,1145,867,3456,393,1742.5,2272,75.5,36.5,1236,153.5
,,U937,IL-10,JNKi,1,30,,,4425,1451,655,2758.5,7249,833,720,18370,332,9666,2166,474,8070,948,728,1031,282,1241,945.5,91.5,21.5,1255,133
,,U937,IL-10,JNKi,1,15,,,5984,1908,764,2831,5365.5,788,709,19659.5,481,9839,2979.5,635,8925,856,704,622,298,1480,1019.5,110,31,1350,249
,,U937,IL-10,JNKi,1,5,,,4696,2601.5,683.5,2440.5,10318.5,957,781,23634,482,11314.5,3239.5,616,4680,1199.5,1108,1060,708,2822,895.5,107.5,31.5,1029,186.5
,,U937,LPS + IL-1a,JNKi,1,1440,,,7651,9681,852,4395,9452,2379,949,23484,1076,13306,3376,951,1751,847,1171,4400,1086.5,2381.5,1689,129,35,942,153
,,U937,LPS + IL-1a,JNKi,1,480,,,6456,12394,652,3374,10538,2612,1778,18990.5,1251.5,12369,4040,1979,1309,1444,1121.5,6671,1141,2210,1845,152,40.5,823.5,167
,,U937,LPS + IL-1a,JNKi,1,240,,,2634.5,,1121,3310,5524,4444.5,1871.5,,1565,10168,1722,710,3051.5,839.5,1049,7411,234,1773,1732,155,40,965.5,159
,,U937,LPS + IL-1a,JNKi,1,120,,,5862,16431.5,1450,3508,7227,13382,3268,23499,1811,17938,3412,694,1409.5,1642,1305.5,23280.5,1592,2724,2837,366,43,900.5,147.5
,,U937,LPS + IL-1a,JNKi,1,60,,,5569,15537,2115,2769,9940,9089,3270,,4480,14839,1017,309,198,1467,1259.5,23928,1027,1976,3936,552.5,45,782,151
,,U937,LPS + IL-1a,JNKi,1,30,,,5367,8878,2038.5,2232,9465,3047,2131.5,,3580,12489,1109.5,,175,822.5,939,25046,628,1711,4262,581,44,604,199
,,U937,LPS + IL-1a,JNKi,1,15,,,4459.5,5953,1230,2889,9386,3916,1691,13096.5,2184,12422,3253,343,186.5,1218,827,23925,619,1941,3262,376,35,759,182
,,U937,LPS + IL-1a,JNKi,1,5,,,4812,2896,647,2812,8763,4002,827,16306,1346,12189.5,3431,431,219.5,1063,958.5,5888,526,2080,1654.5,137,31.5,577,152
,,U937,LPS + IL-1b,JNKi,1,1440,,,10821,14363.5,1079,5002,16689,3988,1460,24710,1161,16117,4843,1821,1761.5,2045,1901,7163,2488,4731,1915,148.5,41,1038,208.5
,,U937,LPS + IL-1b,JNKi,1,480,,,10794,14516,883,2844,13759,5342,2294.5,20444.5,1207,17580,3481,2347,1715,1826.5,1526,8174,1812.5,3127,2230.5,133,35.5,816.5,164
,,U937,LPS + IL-1b,JNKi,1,240,,,10251,18604,1587.5,5316,16383.5,5916,2990,20144,1836,17217,4651,1093,4585.5,1562,1204,13585,1661,3238,1799,172,26.5,1047,170
,,U937,LPS + IL-1b,JNKi,1,120,,,5393.5,15518,1653,2780,12050,13808,3830,25007,2029,14323.5,2807,1152.5,1323.5,1464,935,23429.5,971,2162.5,2683,238.5,33.5,719.5,134.5
,,U937,LPS + IL-1b,JNKi,1,60,,,6478,16432,2249.5,,12399.5,8030,4877,22284.5,5659.5,18336.5,1666,261.5,248,1176.5,921.5,25148,1338,2379.5,4438,605.5,31,749,148
,,U937,LPS + IL-1b,JNKi,1,30,,,6508,9568.5,1884,2246.5,12177,3338,3160,16284,3111.5,14795.5,2776,261.5,150,1276,1057,26151,958,1618,3550.5,561,31,731,143
,,U937,LPS + IL-1b,JNKi,1,15,,,5306,6373,1072,2597,8969,2543,1270.5,17780,1917.5,13382.5,2372.5,399.5,207.5,1164.5,935,23795.5,511,1507,2744,374,27,738.5,145.5
,,U937,LPS + IL-1b,JNKi,1,5,,,5123,4009,886,3055.5,8558.5,4577,1106,20144,1704.5,13148.5,3342.5,580.5,249,1141,970,4338,450,1828,1766,159.5,37,808,173
,,U937,LPS + GM-CSF,JNKi,1,1440,,,19760,19251,1397,6812,16112.5,4682.5,1693,27057,1757.5,18206.5,5744,4107,2433,1836,1633,7309,2293.5,3786.5,1261,142.5,31,1036.5,161
,,U937,LPS + GM-CSF,JNKi,1,480,,,10640.5,11585,666,4572,15802,3073,1392.5,24440,878,16617,5406.5,1130,1789.5,1536,1335,6675,1576.5,3141,1712,154,40.5,920,183
,,U937,LPS + GM-CSF,JNKi,1,240,,,1530.5,,843,386.5,,1305.5,1951,16624,1080,,,,2663,720,1014.5,6641,1916,984.5,1583,178,40,1050,149
,,U937,LPS + GM-CSF,JNKi,1,120,,,8620.5,18040.5,1555,3842.5,12969,11563,3140,25849.5,2386,18811,3448,864.5,1519,1681,1416,23778,1249,2509.5,2426,626,42,1478.5,226
,,U937,LPS + GM-CSF,JNKi,1,60,,,9900.5,23864,3636,6531.5,16106,11584,5426,22225,5642,13923,6661,1156,349,1943.5,1120,26695,2277,1838.5,3871,702,44,1129,185
,,U937,LPS + GM-CSF,JNKi,1,30,,,,,,,,,,,,,,,,,,,,,3376,535,42,1027.5,200
,,U937,LPS + GM-CSF,JNKi,1,15,,,12289,4037,3528,11663,15650,4289,1818,27184,2715,19189,6470,,269.5,1355,988.5,24135,754,2718.5,2911,298,35,1210,223
,,U937,LPS + GM-CSF,JNKi,1,5,,,10294,4072,1379,10338,10485.5,1783.5,843,26459.5,1013,15400,3863.5,1750.5,395,1135,1299,2259,465,2638,1238,148,39,975.5,242.5
,,U937,LPS + IFN-g,JNKi,1,1440,,,7488,11647,960.5,2520,12899.5,2730.5,1053.5,22337,1657.5,11515,2448.5,3006.5,604,2291,1678,12942,2775,5241,1966.5,222,43,1540,204
,,U937,LPS + IFN-g,JNKi,1,480,,,6589.5,11281,972,2328,13125.5,4233,2500,24182.5,1434,15379.5,3400,2491,1702,1698.5,1339,8585,1309,2992,2737,200,45,899,153
,,U937,LPS + IFN-g,JNKi,1,240,,,4950,11762,1343.5,2733,12705,7473,2381.5,16049.5,2219.5,15945.5,4255.5,3350.5,3294,1452,963,12416,1549,3172,1959,260,40.5,1136.5,164
,,U937,LPS + IFN-g,JNKi,1,120,,,6656.5,23326,2326.5,2545,12989.5,17729,3859,23690,3278,21305,2843.5,5120.5,2777,1633,1060,24664,1226,3097,4962.5,1006,43,1642,341
,,U937,LPS + IFN-g,JNKi,1,60,,,8887,14981,3477,3470,14122,10061,7144,23892,5820.5,19674,4390.5,6116.5,1108,2073,1163,26336,2067,3124,4933,630,47,938.5,220
,,U937,LPS + IFN-g,JNKi,1,30,,,6900.5,7216,2424,2601,9946,4617,2292,24076.5,4269,15440.5,3102,4240,1257,1180,919,26394,741,1290.5,4077.5,533,27,884.5,212
,,U937,LPS + IFN-g,JNKi,1,15,,,6201.5,4165,975,2851,9757.5,4566,991,23173,2277.5,15147.5,2965.5,6448,879,1118,1006,21443,344,1985.5,2568,305.5,30,803,221
,,U937,LPS + IFN-g,JNKi,1,5,,,6396,4212,1048,3455,8001,2272.5,580,19035,740,11315,2758.5,4172,600.5,1204.5,819,1466,360,1830,866,104,30,714.5,217
,,U937,LPS + IL-6,JNKi,1,1440,,,14997,10797,1956,4049,24795,4106,2529.5,25139,2434,24440,10771,3417,4012.5,6371,4323,7499.5,9214,17121.5,2745,372.5,57.5,3265,359
,,U937,LPS + IL-6,JNKi,1,480,,,8538,12609,1063.5,3137,11993,4392.5,2126,22177.5,1521,14951.5,3324,1941,2914,1880.5,1556,8207,1505,3499,1907,143.5,33,764.5,174
,,U937,LPS + IL-6,JNKi,1,240,,,8334,16750,1522,3475,18315,8351,3313.5,19986,2022,17961,3865.5,926.5,4826.5,1909.5,1258,14287,2188,3180,1762,165,48,1066,179
,,U937,LPS + IL-6,JNKi,1,120,,,,21173.5,,,,16932,,24529.5,2656,20641,3298,,4220,,1304,23812,,,2200,490,39,1002.5,229
,,U937,LPS + IL-6,JNKi,1,60,,,8656,23626.5,3027.5,3173,13356.5,11205.5,6353.5,24388,6242.5,21825.5,4303,702,2917.5,2154,1609,27069.5,2571,3156,3846,772,46.5,1069.5,170
,,U937,LPS + IL-6,JNKi,1,30,,,8922,8866,2450.5,3140,11853.5,3677,2973,24293,3517,14396.5,4120,737,7045,1209.5,883.5,25509.5,1144,2204,6053,1008.5,42,2868.5,309
,,U937,LPS + IL-6,JNKi,1,15,,,7650.5,3949,1652,2726,10310,3982.5,1132,23286.5,2345.5,11938,3338.5,690,8322,966.5,851,19081,526,1956,2139,237,43,1122,173
,,U937,LPS + IL-6,JNKi,1,5,,,5655,3660,1113.5,3003,11747,3144,692.5,24294,1421,12380,3750.5,934,7589.5,1290,1141,2213,501,2173,1503,152,31,1017,233
,,U937,LPS + IL-10,JNKi,1,1440,,,11351,10595,756,3719.5,13426.5,3403,1214.5,24469.5,1321.5,17710,4175.5,2002,3479,2281,2094,6567,2128,5284.5,1978,157,35.5,1147,195
,,U937,LPS + IL-10,JNKi,1,480,,,7741,14399,942.5,2459,13360.5,4917,2082,23779,1938,16020,3593,1543,5211.5,1815,1434,10227,1661,3489,2480.5,180,36.5,997,174
,,U937,LPS + IL-10,JNKi,1,240,,,10390.5,20369,1960,3321,15864,9021,3102,24377.5,1841,21234,5886.5,839,6746.5,2123.5,1500,18812,1902,4350,2032.5,196.5,36.5,1222,177.5
,,U937,LPS + IL-10,JNKi,1,120,,,4473,20389,1972,1581,9141,14504,3425,23359,2504.5,12566,2522,373,4542,1370,780,23262,905,2941,2845.5,518,37,1378,204
,,U937,LPS + IL-10,JNKi,1,60,,,5943,19777,2115,1901,10948,7656,4414,23692,4643,15389,4066.5,649,6260,1712,1050,26095.5,1551,2600,3959.5,521.5,44,1346,205.5
,,U937,LPS + IL-10,JNKi,1,30,,,7435,7651.5,2107,1838,12150,3247.5,1945.5,,3785,10788.5,2376,445.5,8851,1262.5,826,24372,895,2375,3555,448.5,44,1486,164
,,U937,LPS + IL-10,JNKi,1,15,,,8240,5175,1589,3508.5,11728.5,3416,1457.5,23816.5,2343,13261.5,3113,786,12197.5,1176,1048,19183,736,2330,2615,379,43,1577.5,233
,,U937,LPS + IL-10,JNKi,1,5,,,5340,3169,1232,2863,10929,1963,772,24037.5,938,13848,3459,839.5,5077,1162.5,869.5,1408,576,2246,1092,120.5,38,933.5,194
,,U937,IL-1a,MEKi,1,1440,,,8099,4046.5,912.5,1752,7636.5,1231,548,26317,647,11242.5,1756,665,307.5,1055,824,1895,577,2213,1772,84,33,516.5,204
,,U937,IL-1a,MEKi,1,480,,,6904.5,8469.5,800,1298,7962.5,2406,1081,27401.5,950,9058,1234,905,421.5,1198,906,3511,695,2088.5,1953,111,33,387.5,184.5
,,U937,IL-1a,MEKi,1,240,,,8587,9283,935,1166,6950,2686.5,1042,24788.5,875,7187,755,574,249.5,1195,1125,3632,523,1783,1915.5,117.5,24,312,169
,,U937,IL-1a,MEKi,1,120,,,6205,6542,788,796,5865,2897,774.5,25831,801,8534,606,669,180.5,856,885.5,2386,471,1639,2356,95.5,30,308,161.5
,,U937,IL-1a,MEKi,1,60,,,10314,10702,762,1342.5,11174.5,2291,1255.5,27794.5,913,10807,1164,713.5,215,1190.5,1130,4042,720,2419,1747,86,31,314.5,166
,,U937,IL-1a,MEKi,1,30,,,10484,10088,701.5,882,7370,1346,977.5,28045.5,753,10632,1007.5,735,195.5,1009,1086,6947,411,1422.5,1577.5,104,44,320.5,189
,,U937,IL-1a,MEKi,1,15,,,5897.5,9230,583,552,6426.5,1499.5,784,24369,789,10902.5,749,567.5,248,957.5,769,4757,427,1243,2019.5,120,34.5,446,200.5
,,U937,IL-1a,MEKi,1,5,,,7605.5,6715,654,1084,9688,3245,638.5,27836,336,12604,1137,1017,251,951.5,1043.5,5742,437,2216,2339.5,148.5,35,576.5,206
,,U937,IL-1b,MEKi,1,1440,,,6934.5,6508,1068,1961,6841.5,1520.5,652.5,27456,597.5,11258,1373,830,492,943.5,829.5,1863.5,596,2373,1818,82.5,28,448.5,175.5
,,U937,IL-1b,MEKi,1,480,,,6817,6284.5,707,1204,5174,1208,917,,565,8393.5,999,278,215,776,802,3458.5,441,1388,2144,90.5,29.5,386,141
,,U937,IL-1b,MEKi,1,240,,,,4048,496,488,5671.5,794,365,,141,1191,312,239.5,,,458.5,1586,290,1216,1522,92,26,313.5,154
,,U937,IL-1b,MEKi,1,120,,,7356.5,4937.5,506,637,5901,2086.5,798,,421,3995.5,644,192,148.5,866.5,943,1935,355,1344,2203,102,40,313.5,186.5
,,U937,IL-1b,MEKi,1,60,,,3185,6698,342,392,3079,1377,665,,510,6916,588,285,153,776,739,2193,321,814,2142,89,34.5,312,153.5
,,U937,IL-1b,MEKi,1,30,,,5810,5092.5,294,660,3897,1363.5,789,23826,370,,562,356,171,595,806,2066,404,1055.5,1496,100,21.5,266,135
,,U937,IL-1b,MEKi,1,15,,,7196.5,10922,532,1000.5,8109,1731,1321,29002,711,12644.5,991,765.5,297,1281,1207,7332,485,1830,2215,127,29.5,563,191
,,U937,IL-1b,MEKi,1,5,,,8984,13476,918,1142.5,13121,3750,1283,27662,1151,15204,1858.5,786,396,1571.5,1529,9373,909.5,2952,2192,122,43.5,544,185
,,U937,GM-CSF,MEKi,1,1440,,,9623,4291.5,869,2194,8334,1260.5,930,28406,413,15537,2076,655.5,97,1045,1095,1088.5,394.5,1640,896,77,35,588,150
,,U937,GM-CSF,MEKi,1,480,,,9114.5,5651,427,1202,4792,805.5,893,,376,12096.5,,,100.5,,676,,404,1385,1185,100.5,33,616.5,194
,,U937,GM-CSF,MEKi,1,240,,,5177,4512.5,791,1834,3875.5,990.5,865.5,24133,400.5,6217.5,1026,464.5,144,1045,866,895.5,407.5,1454.5,719.5,69,23.5,462,114
,,U937,GM-CSF,MEKi,1,120,,,3254.5,6719,497,1274.5,3622,1039,806.5,24119,422,5469,1756,425,141,935,957,767,426.5,1163,1394,80.5,32,527.5,151
,,U937,GM-CSF,MEKi,1,60,,,,,363,1412,3718.5,257.5,790.5,,426.5,,,,138.5,,,758.5,,1457,2408,73,37,515,150
,,U937,GM-CSF,MEKi,1,30,,,9435.5,8468,698,2015.5,8692,1274,1105,28296.5,536.5,9481,1704,931,362,1140.5,1245,1373,454.5,1976,2304,79,33.5,494,203
,,U937,GM-CSF,MEKi,1,15,,,14098,6853,651,1857,8741,1202,883,27916,581,12636,1268.5,1026.5,528,1030,953,1215.5,370,2036,2322,114,41.5,607,290.5
,,U937,GM-CSF,MEKi,1,5,,,14783,6589.5,628.5,1376,10323,1216,1027.5,28663,455,14081,1278,1002.5,523,1086,998,1022.5,413,2924.5,1367,109.5,34.5,489.5,180
,,U937,IFN-g,MEKi,1,1440,,,8603,3111,984,1105,5551,757.5,621,26170.5,502,7310,786.5,1122,239,1733,881,1203,278,1240,1347,91,22,934.5,159
,,U937,IFN-g,MEKi,1,480,,,8700.5,3927,837.5,1149,5390,986,842,27150,448,8792,698,895,232,1133,1057,1274,363,1392,1541,73,37.5,534.5,154
,,U937,IFN-g,MEKi,1,240,,,5659,1771.5,500,1083,177,238,928.5,,121,4792.5,763,155.5,118,516,819,429.5,237.5,1116,1859.5,60,28,485,175
,,U937,IFN-g,MEKi,1,120,,,1512.5,1643.5,353,768,539,495,315,,189,13734,361,1423,,378.5,479.5,616.5,88.5,1080,2423,63,26,443,184.5
,,U937,IFN-g,MEKi,1,60,,,5166.5,1308,144,1128,67.5,783.5,809,26751,645,6014,363,1313,1664.5,926,797.5,814,333.5,2087,2956,76,35,498,210
,,U937,IFN-g,MEKi,1,30,,,3363.5,3370,399,807,3458,655.5,610,,373,6119,453,4238,1531,473,669.5,839.5,279,1199,1625.5,71,28,467.5,173
,,U937,IFN-g,MEKi,1,15,,,8013.5,5807,508.5,1066,8016,1188.5,983,28582,385,10212.5,1095,7255,1800.5,1202,1164,1038.5,577,2927,1065.5,81.5,27,460,182
,,U937,IFN-g,MEKi,1,5,,,6458,5951.5,603.5,1007,7449.5,1393.5,932,27684,523,13441.5,1334.5,8978,1185,1193,1337.5,1120,418,2169,1037,80,27,437,189.5
,,U937,IL-6,MEKi,1,1440,,,8711,3931,822,1728,5331,1035,601,27369.5,412,12127.5,1576,550,1255,782,1044,1138.5,358,1540,1337,79,33,800.5,166
,,U937,IL-6,MEKi,1,480,,,9159.5,3037,746.5,1461,5801,960,891.5,24473,483,8703,1006,276,1822.5,807,768.5,635.5,281,1480,1316,59.5,25,535,161
,,U937,IL-6,MEKi,1,240,,,4831,2598.5,584.5,1111,3920,867.5,596,27195,418,6053.5,740,609,1552,585.5,816,932,303,1088.5,1290,74.5,23,398,147
,,U937,IL-6,MEKi,1,120,,,3044,2473,366,580,4732.5,695,587,,170,7721,542,295.5,674.5,726,202,154,190,538,1412,56,23.5,322,138
,,U937,IL-6,MEKi,1,60,,,1778,2667,289,430,1063.5,779,451,,523,1518,430.5,,1387.5,251.5,268,316,90,864,2999.5,89.5,31,686,155
,,U937,IL-6,MEKi,1,30,,,7110,6718,523,1240,4200,1353,1071,25327,638,6788,942,1226,8427.5,1226,1191,1427.5,426,2392.5,1643,86.5,33.5,846.5,146.5
,,U937,IL-6,MEKi,1,15,,,3269,967,142,629,4265,932,351,,271.5,4033,557,753,7390,,752,106,261,938,1604,102.5,26.5,1041.5,242
,,U937,IL-6,MEKi,1,5,,,5248,5317,457,771,6484.5,1110,696.5,26766.5,407,11786,817.5,743,6920.5,765.5,900,977,465,2332.5,1148.5,88,26,588,151
,,U937,IL-10,MEKi,1,1440,,,15028,3869,925,1921,7222.5,864,775.5,25559.5,514.5,10074,1746,812.5,3077,1168.5,831,1051.5,375.5,1388.5,1401,68.5,27,767.5,153
,,U937,IL-10,MEKi,1,480,,,9534,5599,1081,1746,8854.5,886,751,27452.5,485,11922.5,1223,616,5983,989,1089.5,1475,366.5,1481.5,1704,63.5,30,676,158
,,U937,IL-10,MEKi,1,240,,,7930,7014,725,1317,7110,1238,1471,27532.5,650,12193,1414.5,789.5,5081,1200,1035.5,1597,498.5,1929.5,1298,77.5,31,498.5,120
,,U937,IL-10,MEKi,1,120,,,10236.5,6889,267,399,7598.5,938,1392,26885,347,14906.5,835,440.5,3818.5,1322,755.5,886.5,340.5,1939,1314,53,23.5,571,101
,,U937,IL-10,MEKi,1,60,,,7862.5,3591,938,750.5,1976.5,651,714,21009,279,5989,415.5,458,4387,749.5,1574,1123,211.5,1133.5,3192.5,49.5,20.5,1009.5,127
,,U937,IL-10,MEKi,1,30,,,4956.5,2637,381,761,3587,807,710,22583,242,3452,764,489,6222,414,782.5,758,366,1543,1342,71,28,1177,138.5
,,U937,IL-10,MEKi,1,15,,,6038,5198,498,819,5939.5,1083,935.5,27745.5,360.5,10611,937,974,14416,945.5,1002,968,275,1476.5,955,91,35.5,730.5,160
,,U937,IL-10,MEKi,1,5,,,6874,3841,547,846,7055,962,798,28253.5,399.5,11813,1136.5,1013,7978,960,944,1049.5,353,1696,871,73.5,28,522,146
,,U937,LPS + IL-1a,MEKi,1,1440,,,5005,3198,622,,4557,1281,570.5,,906,6873,754,287.5,737.5,1107,979,5514,1078.5,3743.5,2030,129,34.5,595.5,136
,,U937,LPS + IL-1a,MEKi,1,480,,,5704,9073,368,1089,3407,2793.5,1325,25627.5,945,9901.5,871,1207,874,712,741.5,8251,740,1251,2906,132,25,448.5,105.5
,,U937,LPS + IL-1a,MEKi,1,240,,,3193,15212,916,992,4764.5,7242,2873,23452,1807,9528.5,867.5,1289,1759,1047,741.5,11241,693,1619.5,2703,177,39,538,131.5
,,U937,LPS + IL-1a,MEKi,1,120,,,4729,18608,1045,904.5,2864,13470,3155,20506,2013,9037.5,230.5,616.5,653.5,1141,921,25102.5,562.5,1365,3904,463,26.5,549.5,117.5
,,U937,LPS + IL-1a,MEKi,1,60,,,2245,20078.5,1711,612,2421.5,7599,3043,,3540,9371,398,331.5,150,608,435.5,24483.5,409,1054,4309.5,598,33,564.5,103.5
,,U937,LPS + IL-1a,MEKi,1,30,,,298,,678,394,560,1048,196,,2722.5,323,,,116,,,,,1078.5,4765,469.5,27.5,435,118
,,U937,LPS + IL-1a,MEKi,1,15,,,244,6590.5,427,633,3341,557.5,1370,,1184,362,476,553,62,554,688.5,16852,381.5,958,3748,279,27.5,438.5,125.5
,,U937,LPS + IL-1a,MEKi,1,5,,,7106,8570,622,547,5594,5903,868,27910,1217.5,10785.5,803,647.5,225,648.5,780.5,7218,342,1483,2357.5,179,35,507,180
,,U937,LPS + IL-1b,MEKi,1,1440,,,1587,7991,216.5,739,4789,1348,,,732,8314,548,38.5,106,789,635,4857,110,610.5,2056.5,119,34,581,118.5
,,U937,LPS + IL-1b,MEKi,1,480,,,3874,14419,845.5,1205,4296,3581,1330,24642,596,8282,1472.5,2460,1053,929,907,8130,577,1315,2537.5,128.5,32,445,164.5
,,U937,LPS + IL-1b,MEKi,1,240,,,,8334,319,596.5,154.5,2120.5,1129,,698,6114,,,537,55,162,63,84,366.5,2225,158.5,40,534,130.5
,,U937,LPS + IL-1b,MEKi,1,120,,,,,372,570.5,,,,,115.5,,120.5,124,,51,107,9543,522,410,3651,445,34,374.5,104
,,U937,LPS + IL-1b,MEKi,1,60,,,,8266,681.5,,149.5,3595,1150,,2837,289.5,138,155,129,100.5,48,10090,140,533,4684,681,39,612.5,111
,,U937,LPS + IL-1b,MEKi,1,30,,,,4490,432,313.5,,,,,2408,293,240.5,,,,,,,,4407,568,33,510.5,130.5
,,U937,LPS + IL-1b,MEKi,1,15,,,7247.5,10653,594,622.5,5312.5,3989,1390,27660,2390,10302.5,819.5,452,122,851,812,23431,352,1226.5,4218,510.5,33,538.5,208
,,U937,LPS + IL-1b,MEKi,1,5,,,9679.5,10302,955,670,9269,7075.5,1366,28147.5,1749,14182,1399,871.5,349,1253,1000,7771,587,1789,1999.5,114.5,29,555,158.5
,,U937,LPS + GM-CSF,MEKi,1,1440,,,11372,12030,761,2762,7695,3715,900,24807,925.5,12684,2160,1207.5,1307,891,1069.5,3960.5,637,1446.5,2046,158,36,827,172
,,U937,LPS + GM-CSF,MEKi,1,480,,,8188,21565,835.5,1679.5,4526,7079,1334,26521,1131.5,8669,1957,854,1913,838,824,9975,702,1241.5,2408,216.5,43,665,160.5
,,U937,LPS + GM-CSF,MEKi,1,240,,,6680.5,22485.5,744.5,1915,5748,6403,2601,17432,1139,12640,1662.5,984,2249,1024.5,944,13475,988,1611.5,2132,207,40,714,170.5
,,U937,LPS + GM-CSF,MEKi,1,120,,,,15044.5,414.5,,,,1719,,1464,3156,,459,248,414,,,498,,3284.5,517,39,596,125
,,U937,LPS + GM-CSF,MEKi,1,60,,,6775.5,14777,1703.5,1722,3174,6610,1688,,3396,4023,741.5,88.5,119.5,528,1019,26076,893,1477,5012,616,32.5,633,161.5
,,U937,LPS + GM-CSF,MEKi,1,30,,,,,371,,1617,2765,1734,,2494,,977,1147,254,,,,,,5530,511,26.5,513,177
,,U937,LPS + GM-CSF,MEKi,1,15,,,16702,7953,984,1561,6480,2639,1762,28544.5,2075,11282,1056.5,503.5,274,906,851,22659,384,1368,4734,383,44.5,706,223
,,U937,LPS + GM-CSF,MEKi,1,5,,,9483,5251,521.5,715.5,6758.5,1874,626.5,27487.5,724,9795,1066,1162,293.5,775,877,1098.5,258.5,1510.5,1388,102.5,30.5,484,195.5
,,U937,LPS + IFN-g,MEKi,1,1440,,,7020,12016,824,1480.5,6094,2159,585,29383,1281,8804,1335,2075,575.5,1338,1125,9523,732,3105,2312,169,36.5,871,155
,,U937,LPS + IFN-g,MEKi,1,480,,,6872.5,15799,849,320.5,5630,4125,1646.5,24507.5,1606,10862,1127,2843,1388,976,593.5,10171,553.5,1565,3250.5,188.5,31.5,657,160
,,U937,LPS + IFN-g,MEKi,1,240,,,1345,,,458,,,1729,,,,376,,346,,,,,,3073,325,40,776,189.5
,,U937,LPS + IFN-g,MEKi,1,120,,,1117.5,16847.5,1033,1021,2860,6875,1764,22965,2485,8741,548,1319,342.5,1155,608,23475,469,1208,3434,624,43,639,166
,,U937,LPS + IFN-g,MEKi,1,60,,,,,,,,,,,,,,,392.5,,,,521,713,5227,638,45.5,587.5,190
,,U937,LPS + IFN-g,MEKi,1,30,,,12048.5,15661,2007,902.5,7102.5,4243,3811,,4631,15651.5,1136,5968.5,1629,1340,1147.5,26599,1017.5,2004,4877,467,36,566,181
,,U937,LPS + IFN-g,MEKi,1,15,,,8044.5,5392,683,726,5582,4855,1358,27776,2308.5,9911.5,782,5906.5,1138,912,742.5,23083,509,1495,3260.5,217,32,427,212
,,U937,LPS + IFN-g,MEKi,1,5,,,5822.5,4306,712,895,6416,2717,693.5,28251.5,860,9149,1339,4796,791,743.5,1143.5,1464,315,1874,1172,119.5,29,467.5,155
,,U937,LPS + IL-6,MEKi,1,1440,,,6441,11981.5,844.5,1422,5850,1929,601,28893,956,11881,1270.5,1165,1676,1206,970.5,6595,690,4138,2313,133,37,655.5,188
,,U937,LPS + IL-6,MEKi,1,480,,,6461,13768,622,867,4564,3164,1156.5,26380,774,9375,1134.5,1644.5,2231,865,851,7830,437,1411.5,2761,130,38.5,561.5,201
,,U937,LPS + IL-6,MEKi,1,240,,,6178,23260.5,842,1231,5069,6990,2470,28778.5,1697,14630,1364,925,2401,1152.5,1184,20699,728,1663,2301,246,32.5,628,171.5
,,U937,LPS + IL-6,MEKi,1,120,,,4381.5,23560,1013,847,2470.5,10821.5,2212.5,17118,1161,10521.5,601,390.5,1554,952,416,24479,556,1088.5,3306,487,39,608,151.5
,,U937,LPS + IL-6,MEKi,1,60,,,3514,21742,1501,,,8715,2267,,3627,15571,,,2323.5,,494,,828,1516.5,4438.5,626,46.5,821.5,196
,,U937,LPS + IL-6,MEKi,1,30,,,8566,13054.5,1466,1097,4998,3081,2801.5,,,13492,824.5,615,4396,1023,916,25307,712.5,1442,4970,530,37,1013,205
,,U937,LPS + IL-6,MEKi,1,15,,,8088.5,5206,720.5,683.5,5217,4042,1086.5,28224.5,2135,12045,743,567,6868,832.5,702.5,21614,360,1136,3890,509,42,1144.5,215
,,U937,LPS + IL-6,MEKi,1,5,,,9529,7036.5,637.5,733,10274,3527,641,29334,874,12921,1381,1257,5881,1491,959,1610,322.5,1827.5,1296.5,119,30.5,573,174
,,U937,LPS + IL-10,MEKi,1,1440,,,14566,19080,1468,4833,11104,3762.5,1225,29003,1731,22352,3850.5,1519,6407.5,3103,2219,11515,1232.5,7726,2803,117,33,861,184
,,U937,LPS + IL-10,MEKi,1,480,,,2273,11867,538,872,2938,2610,760.5,,857.5,4432,564,812,1420,900.5,624.5,5883,338,1180,3570,227,50.5,1279.5,229.5
,,U937,LPS + IL-10,MEKi,1,240,,,3844,16161,856.5,795,4636.5,4502,1418,,1105.5,9353,788,400,3774,696,852,7197,379,1106,2776,223,37.5,637,179.5
,,U937,LPS + IL-10,MEKi,1,120,,,6263,24611,1124,571,4939,14814,1945,27700,2102,17179,965.5,573.5,5167,1070,732,25052,606,1291,3950,540,42.5,795,157
