Plate,Well,Cell Type,Stimuli,Inhibitor,Inhibitor Conc=uM,Time=min,,,p-Akt,p-cJun ,p-CREB ,p-ERK1/2,p-GSK-3a/b,p-IkBa,p-JNK,p-MEK1,p-p38,p-p70-S6K,p-p90-RSK,p-STAT2,p-STAT3 (Tyr705),p-IRS-1,p-Histone H3,p-Hsp27,p-p53 (Ser37),p-Tyk2,p-ATF-2,p-NFkB,p-p53 (Ser46),p-STAT3 (Ser727),p-STAT6
,,U937,IL-6,p38i,1,1440,,,12690,22831,1056,6495,16213,1128,1635.5,14682,455,12311,4937,342.5,1705.5,2103,1267,869,431.5,3477,3628,102.5,50.5,1574,207
,,U937,IL-6,p38i,1,480,,,12348,24557.5,1630.5,7386,19895,1026,2514,26209.5,285,17981,6832,926,1667.5,2244,2132,1430.5,905.5,4585,3986,100,44,1217.5,222
,,U937,IL-6,p38i,1,240,,,9359.5,21197,801,4803.5,15319,835,1594,9544,216,15660,4574.5,938,1296,1368,1386.5,919,781,2806.5,3207,76.5,37,902,167
,,U937,IL-6,p38i,1,120,,,11760,23735,541.5,2903,13119,1374.5,2428,12499,186,13328,4745,397.5,1249,1852,1070.5,1374,244,2466,4526,114,51.5,1096.5,178
,,U937,IL-6,p38i,1,60,,,8940,23656,1059,6028,17505,579.5,2502,24220,306,16858.5,3607.5,650,1738,1794.5,1616,895,958,1754.5,5537,110,53,1405,200.5
,,U937,IL-6,p38i,1,30,,,10969.5,6754,1086.5,6495,12959,831.5,1101,16683.5,133,13242,2284.5,569.5,8560,1191,972,580,327.5,1791,2539,94.5,32,1451.5,206
,,U937,IL-6,p38i,1,15,,,8497.5,6456,683,4877,12362.5,817,1141.5,,91,12132,1387.5,629,5102,1249,681,366,641,2412.5,2353,115,37,1439,233
,,U937,IL-6,p38i,1,5,,,12964.5,9821,1121,4708,11388,1013,1261,19208,122.5,16889,5476.5,677,6082,1417.5,1376.5,1029,643.5,3211,2275,109,37,1362,223
,,U937,IL-10,p38i,1,1440,,,11250.5,23983,1038,5521,14007.5,1159,1822,24033.5,483,18120,5131,730,3657,1426.5,949.5,729,479,2282,3953,99,49,1723,165
,,U937,IL-10,p38i,1,480,,,10093,23599,1214,4566.5,15489,945,2014,23982,302,17560.5,5226,612.5,4604,1713,1588,1085,730,2487,3793,60,26,1147,168.5
,,U937,IL-10,p38i,1,240,,,9615.5,24686,1052,4238.5,18675.5,1218,3115,24307.5,361.5,20976,5770,850,5241.5,2111,1674,1277,931,3081,4148,94,45.5,1447,195
,,U937,IL-10,p38i,1,120,,,9018,24547.5,870,4779,16884,1188,3014,24368.5,446,19848,5361,694.5,5027.5,2415,1782,1190,1175.5,3197,4846,79.5,53.5,1298,139
,,U937,IL-10,p38i,1,60,,,5492,16442,779,3506,10942,717,2631,,285,13219.5,3273,488,7476,1393,1284,709,670,2618.5,6607,98,39.5,1562,174
,,U937,IL-10,p38i,1,30,,,8733,6567.5,923.5,5162.5,14654,858.5,1372.5,22283.5,177,12377,5140,767,12171,1386,1407,691.5,615.5,2705,2475,90.5,31,1741.5,204
,,U937,IL-10,p38i,1,15,,,10126,10137.5,1023,5595,15163.5,1086,1594,23371.5,131,14246.5,4483,727.5,11592.5,1257,1246.5,758,534,2543,2165,117.5,39.5,1740.5,216
,,U937,IL-10,p38i,1,5,,,11055,10703,933.5,4842.5,13075,1134,1361,23994,128.5,15063,4509,810,8583,1467,1305,774.5,610,2408.5,1859,105.5,35,891,211
,,U937,LPS + IL-1a,p38i,1,1440,,,13120,24731,1057.5,5783.5,15706,5114,2576.5,23133.5,536,19680,5255.5,1420.5,919.5,1053,1488,1117,1201,3766.5,2950,121,54,1218.5,143
,,U937,LPS + IL-1a,p38i,1,480,,,8948,25898.5,902,3646,14427,4715,4423,23982.5,728,18119,4478,2797.5,900.5,1670,1282,1545.5,1505,2815.5,3912,187,44,1021,157
,,U937,LPS + IL-1a,p38i,1,240,,,7931.5,26237.5,1005.5,4979,14585,10333.5,8208.5,23436.5,899,18674,4593.5,760,560,2288,1434,2669,1662,2399,4940,336,51.5,1084.5,186
,,U937,LPS + IL-1a,p38i,1,120,,,6545,24597.5,708.5,4774,12081,7447,9696,,769.5,16104.5,3696,415.5,109,2100.5,2069,2918.5,1397.5,3503.5,5551,415,51,1024.5,168
,,U937,LPS + IL-1a,p38i,1,60,,,7515,24137,1144,5773.5,17606.5,5645,9621,23394,1206.5,17537,5456,695,123,2113,1335.5,1551,1977,2743,5819.5,529.5,43.5,1118,119
,,U937,LPS + IL-1a,p38i,1,30,,,7454.5,14799,883.5,3079,8785,2595,4754,,420.5,9481.5,785,1017.5,172,1499,1110,822,967.5,836,5739,544,37,886,166
,,U937,LPS + IL-1a,p38i,1,15,,,11192,19237,857,4909.5,13496,4572.5,3349,22362.5,401,12482.5,3107,646,211,1198,1261,814,658,2204.5,4300,357,36.5,905,163
,,U937,LPS + IL-1a,p38i,1,5,,,9467,16036,968,5054,18530,6566.5,2059,25062,297,17010.5,5174,2051,532,1424,1298,900,751,2788.5,3035,236.5,40.5,1143,177
,,U937,LPS + IL-1b,p38i,1,1440,,,14538,25026,1153,7247.5,16359.5,5950,2876,23985,675,19229,7019.5,2367,1039,1369,2396,2141,1777,5088,3555.5,184,35,1348,182
,,U937,LPS + IL-1b,p38i,1,480,,,8440,25106.5,554.5,3773.5,13441,3871.5,4118,23850,474,7098,5420.5,2910.5,817,1592.5,1132,1720,897.5,3145,4145.5,208.5,47.5,827.5,157
,,U937,LPS + IL-1b,p38i,1,240,,,9383,24339,826.5,4031.5,12416,8860.5,8430,23396,758,20055.5,5230.5,675,506.5,2493.5,1650,2403,1936,3287.5,3998,335,36,802.5,144
,,U937,LPS + IL-1b,p38i,1,120,,,11283,24356,1417,6255,17042,17163,11165.5,25731,1654,23513.5,5224.5,1389.5,216,3493,2064,1161.5,653,4024,4417,403.5,44.5,856,117
